File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
     178    3344.6999    -3.3828e+003
     179    3344.7488    -3.2868e+003
     180    3344.7977    -3.1313e+003
     181    3344.8465    -2.9890e+003
     182    3344.8954    -2.8243e+003
     183    3344.9443    -2.6488e+003
     184    3344.9932    -2.4708e+003
     185    3345.0420    -2.2735e+003
     186    3345.0909    -2.0945e+003
     187    3345.1398    -1.9148e+003
     188    3345.1887    -1.7315e+003
     189    3345.2375    -1.5708e+003
     190    3345.2864    -1.4215e+003
     191    3345.3353    -1.2775e+003
     192    3345.3842    -1.1338e+003
     193    3345.4330    -1.0138e+003
     194    3345.4819    -9.0325e+002
     195    3345.5308    -7.9400e+002
     196    3345.5797    -6.9725e+002
     197    3345.6285    -6.1275e+002
     198    3345.6774    -5.3475e+002
     199    3345.7263    -4.5950e+002
     200    3345.7752    -4.0250e+002
     201    3345.8240    -3.5575e+002
     202    3345.8729    -3.1150e+002
     203    3345.9218    -2.7375e+002
     204    3345.9707    -2.4750e+002
     205    3346.0196    -2.2450e+002
     206    3346.0684    -1.9275e+002
     207    3346.1173    -1.7375e+002
     208    3346.1662    -1.4550e+002
     209    3346.2151    -1.5050e+002
     210    3346.2639    -1.4550e+002
     211    3346.3128    -1.1875e+002
     212    3346.3617    -1.2875e+002
     213    3346.4106    -1.2250e+002
     214    3346.4594    -1.3850e+002
     215    3346.5083    -1.3675e+002
     216    3346.5572    -1.3050e+002
     217    3346.6061    -1.3475e+002
     218    3346.6549    -1.5250e+002
     219    3346.7038    -1.4875e+002
     220    3346.7527    -1.5950e+002
     221    3346.8016    -1.5250e+002
     222    3346.8504    -1.5575e+002
     223    3346.8993    -1.6950e+002
     224    3346.9482    -1.7275e+002
     225    3346.9971    -1.6850e+002
     226    3347.0459    -1.7150e+002
     227    3347.0948    -1.6675e+002
     228    3347.1437    -1.7475e+002
     229    3347.1926    -1.6550e+002
     230    3347.2414    -1.7950e+002
     231    3347.2903    -1.6975e+002
     232    3347.3392    -1.5750e+002
     233    3347.3881    -1.6250e+002
     234    3347.4370    -1.6675e+002
     235    3347.4858    -1.5775e+002
     236    3347.5347    -1.5425e+002
     237    3347.5836    -1.4600e+002
     238    3347.6325    -1.5825e+002
     239    3347.6813    -1.3800e+002
     240    3347.7302    -1.2525e+002
     241    3347.7791    -1.0675e+002
     242    3347.8280    -1.1775e+002
     243    3347.8768    -1.1025e+002
     244    3347.9257    -9.1000e+001
     245    3347.9746    -9.5250e+001
     246    3348.0235    -8.4750e+001
     247    3348.0723    -6.6750e+001
     248    3348.1212    -7.8500e+001
     249    3348.1701    -7.1500e+001
     250    3348.2190    -6.1750e+001
     251    3348.2678    -4.4750e+001
     252    3348.3167    -2.9250e+001
     253    3348.3656    -5.1750e+001
     254    3348.4145    -3.7750e+001
     255    3348.4633    -2.9500e+001
     256    3348.5122    -2.4500e+001
     257    3348.5611    -2.2750e+001
     258    3348.6100    -3.5750e+001
