File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
     761    3373.1945    -4.0000e+000
     762    3373.2434    -2.5000e+000
     763    3373.2923    -1.2500e+001
     764    3373.3412    -1.2500e+001
     765    3373.3900    -1.0000e+000
     766    3373.4389    -1.4500e+001
     767    3373.4878    -1.1500e+001
     768    3373.5367    -9.5000e+000
     769    3373.5855    -7.5000e+000
     770    3373.6344    -7.0000e+000
     771    3373.6833    -1.9500e+001
     772    3373.7322    -1.5500e+001
     773    3373.7810     4.5000e+000
     774    3373.8299    -1.1000e+001
     775    3373.8788     3.0000e+000
     776    3373.9277    -8.0000e+000
     777    3373.9765    -3.5000e+000
     778    3374.0254     2.3000e+001
     779    3374.0743    -1.0000e+000
     780    3374.1232     5.0000e+000
     781    3374.1720     1.1500e+001
     782    3374.2209     1.3500e+001
     783    3374.2698     2.1000e+001
     784    3374.3187     2.8000e+001
     785    3374.3675     2.6000e+001
     786    3374.4164     4.1500e+001
     787    3374.4653     5.4000e+001
     788    3374.5142     6.1000e+001
     789    3374.5630     7.0000e+001
     790    3374.6119     9.3500e+001
     791    3374.6608     6.2500e+001
     792    3374.7097     9.0500e+001
     793    3374.7586     1.0200e+002
     794    3374.8074     1.0750e+002
     795    3374.8563     1.1550e+002
     796    3374.9052     1.0950e+002
     797    3374.9541     1.1750e+002
     798    3375.0029     1.1300e+002
     799    3375.0518     1.2650e+002
     800    3375.1007     1.2250e+002
     801    3375.1496     1.4650e+002
     802    3375.1984     1.3400e+002
     803    3375.2473     1.4950e+002
     804    3375.2962     1.3850e+002
     805    3375.3451     1.3750e+002
     806    3375.3939     1.1950e+002
     807    3375.4428     1.3200e+002
     808    3375.4917     1.1700e+002
     809    3375.5406     9.9500e+001
     810    3375.5894     1.0800e+002
     811    3375.6383     9.9500e+001
     812    3375.6872     8.4000e+001
     813    3375.7361     8.7500e+001
     814    3375.7849     8.1500e+001
     815    3375.8338     6.5500e+001
     816    3375.8827     5.2000e+001
     817    3375.9316     6.6000e+001
     818    3375.9804     6.9000e+001
     819    3376.0293     4.7000e+001
     820    3376.0782     5.1000e+001
     821    3376.1271     7.0000e+001
     822    3376.1760     6.2000e+001
     823    3376.2248     8.5000e+001
     824    3376.2737     9.8000e+001
     825    3376.3226     1.1400e+002
     826    3376.3715     1.3900e+002
     827    3376.4203     1.6750e+002
     828    3376.4692     1.9250e+002
     829    3376.5181     2.1750e+002
     830    3376.5670     2.9000e+002
     831    3376.6158     3.4400e+002
     832    3376.6647     3.8700e+002
     833    3376.7136     4.5100e+002
     834    3376.7625     5.3300e+002
     835    3376.8113     6.4600e+002
     836    3376.8602     7.4400e+002
     837    3376.9091     8.7200e+002
     838    3376.9580     9.8800e+002
     839    3377.0068     1.1410e+003
     840    3377.0557     1.2750e+003
     841    3377.1046     1.4425e+003
     842    3377.1535     1.6135e+003
     843    3377.2023     1.7765e+003
     844    3377.2512     1.9930e+003
     845    3377.3001     2.2000e+003
     846    3377.3490     2.4120e+003
     847    3377.3978     2.6090e+003
     848    3377.4467     2.8000e+003
     849    3377.4956     2.9800e+003
     850    3377.5445     3.1840e+003
     851    3377.5934     3.3510e+003
     852    3377.6422     3.5020e+003
     853    3377.6911     3.6400e+003
     854    3377.7400     3.7410e+003
     855    3377.7889     3.8085e+003
     856    3377.8377     3.8425e+003
     857    3377.8866     3.8175e+003
     858    3377.9355     3.7760e+003
     859    3377.9844     3.6685e+003
     860    3378.0332     3.5155e+003
     861    3378.0821     3.3360e+003
     862    3378.1310     3.0870e+003
     863    3378.1799     2.8240e+003
     864    3378.2287     2.4870e+003
     865    3378.2776     2.1320e+003
     866    3378.3265     1.7590e+003
     867    3378.3754     1.3140e+003
     868    3378.4242     8.6700e+002
     869    3378.4731     4.2800e+002
     870    3378.5220    -4.0000e+000
     871    3378.5709    -4.4400e+002
     872    3378.6197    -8.8800e+002
     873    3378.6686    -1.3050e+003
     874    3378.7175    -1.7080e+003
     875    3378.7664    -2.0680e+003
     876    3378.8152    -2.3910e+003
     877    3378.8641    -2.6820e+003
     878    3378.9130    -2.9120e+003
     879    3378.9619    -3.1460e+003
     880    3379.0108    -3.3130e+003
     881    3379.0596    -3.4320e+003
     882    3379.1085    -3.5150e+003
     883    3379.1574    -3.5600e+003
     884    3379.2063    -3.5370e+003
     885    3379.2551    -3.4930e+003
     886    3379.3040    -3.4180e+003
     887    3379.3529    -3.3140e+003
     888    3379.4018    -3.1920e+003
     889    3379.4506    -3.0410e+003
     890    3379.4995    -2.8760e+003
     891    3379.5484    -2.7030e+003
     892    3379.5973    -2.5360e+003
     893    3379.6461    -2.3570e+003
     894    3379.6950    -2.1730e+003
     895    3379.7439    -1.9890e+003
     896    3379.7928    -1.8270e+003
     897    3379.8416    -1.6410e+003
     898    3379.8905    -1.4840e+003
     899    3379.9394    -1.3270e+003
     900    3379.9883    -1.2030e+003
     901    3380.0371    -1.0740e+003
     902    3380.0860    -9.4800e+002
     903    3380.1349    -8.3700e+002
     904    3380.1838    -7.3000e+002
     905    3380.2326    -6.5500e+002
     906    3380.2815    -5.7300e+002
     907    3380.3304    -4.9900e+002
     908    3380.3793    -4.4600e+002
     909    3380.4282    -3.9400e+002
     910    3380.4770    -3.5100e+002
     911    3380.5259    -2.9800e+002
     912    3380.5748    -2.6500e+002
     913    3380.6237    -2.4500e+002
     914    3380.6725    -2.1700e+002
     915    3380.7214    -2.0200e+002
     916    3380.7703    -1.8400e+002
     917    3380.8192    -1.6300e+002
     918    3380.8680    -1.5000e+002
     919    3380.9169    -1.4900e+002
     920    3380.9658    -1.4300e+002
     921    3381.0147    -1.3100e+002
     922    3381.0635    -1.2700e+002
     923    3381.1124    -1.4300e+002
     924    3381.1613    -1.5200e+002
     925    3381.2102    -1.5300e+002
     926    3381.2590    -1.5200e+002
     927    3381.3079    -1.5700e+002
     928    3381.3568    -1.4600e+002
     929    3381.4057    -1.6600e+002
     930    3381.4545    -1.7900e+002
     931    3381.5034    -1.8500e+002
     932    3381.5523    -1.7800e+002
     933    3381.6012    -1.8900e+002
     934    3381.6500    -1.8800e+002
     935    3381.6989    -1.8600e+002
     936    3381.7478    -1.8900e+002
     937    3381.7967    -1.9700e+002
     938    3381.8456    -1.9800e+002
     939    3381.8944    -1.9200e+002
     940    3381.9433    -1.8400e+002
     941    3381.9922    -1.9200e+002
     942    3382.0411    -1.8100e+002
     943    3382.0899    -1.7200e+002
     944    3382.1388    -1.6300e+002
     945    3382.1877    -1.5400e+002
     946    3382.2366    -1.4500e+002
     947    3382.2854    -1.4800e+002
     948    3382.3343    -1.5300e+002
     949    3382.3832    -1.4100e+002
     950    3382.4321    -1.1700e+002
     951    3382.4809    -1.1400e+002
     952    3382.5298    -1.2000e+002
     953    3382.5787    -1.1100e+002
     954    3382.6276    -9.7000e+001
     955    3382.6764    -9.9000e+001
     956    3382.7253    -7.8000e+001
     957    3382.7742    -8.8000e+001
     958    3382.8231    -7.5000e+001
     959    3382.8719    -8.0000e+001
     960    3382.9208    -6.5000e+001
     961    3382.9697    -6.6000e+001
     962    3383.0186    -7.0000e+001
     963    3383.0674    -5.7000e+001
     964    3383.1163    -5.7000e+001
     965    3383.1652    -7.0000e+001
     966    3383.2141    -6.0000e+001
     967    3383.2630    -5.1000e+001
     968    3383.3118    -5.0000e+001
     969    3383.3607    -4.3000e+001
     970    3383.4096    -6.3000e+001
     971    3383.4585    -4.7000e+001
     972    3383.5073    -4.5000e+001
     973    3383.5562    -3.3000e+001
     974    3383.6051    -3.9000e+001
     975    3383.6540    -3.9000e+001
     976    3383.7028    -5.0000e+001
     977    3383.7517    -3.3000e+001
     978    3383.8006    -3.0000e+001
     979    3383.8495    -4.3000e+001
     980    3383.8983    -4.8000e+001
     981    3383.9472    -3.6000e+001
     982    3383.9961    -5.1000e+001
     983    3384.0450    -3.3000e+001
     984    3384.0938    -3.5000e+001
     985    3384.1427    -3.0000e+001
     986    3384.1916    -3.3000e+001
     987    3384.2405    -1.6000e+001
     988    3384.2893    -2.0000e+001
     989    3384.3382    -3.0000e+001
     990    3384.3871    -3.2000e+001
     991    3384.4360    -3.1000e+001
     992    3384.4848    -2.2000e+001
     993    3384.5337    -1.6000e+001
     994    3384.5826    -1.9000e+001
     995    3384.6315    -2.4000e+001
     996    3384.6804    -2.6000e+001
     997    3384.7292    -7.0000e+000
     998    3384.7781    -1.5000e+001
     999    3384.8270    -2.9000e+001
    1000    3384.8759    -1.1000e+001
    1001    3384.9247    -1.7000e+001
    1002    3384.9736    -2.0000e+001
    1003    3385.0225    -2.2000e+001
    1004    3385.0714    -2.6000e+001
    1005    3385.1202    -1.5000e+001
    1006    3385.1691    -1.5000e+001
    1007    3385.2180    -1.1000e+001
    1008    3385.2669    -3.7000e+001
    1009    3385.3157    -3.1000e+001
    1010    3385.3646    -2.4000e+001
    1011    3385.4135    -2.8000e+001
    1012    3385.4624    -1.5000e+001
    1013    3385.5112    -2.1000e+001
    1014    3385.5601    -3.2000e+001
    1015    3385.6090    -1.7000e+001
    1016    3385.6579    -2.2000e+001
    1017    3385.7067    -1.9000e+001
    1018    3385.7556    -5.0000e+000
    1019    3385.8045    -1.6000e+001
    1020    3385.8534    -1.6000e+001
    1021    3385.9022    -2.9000e+001
    1022    3385.9511    -6.0000e+000
    1023    3386.0000    -1.5000e+001
