,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
1081,1420449,1109646005,2015-01-25T00:00:00,1131.0,HO48,,CA,201503.0,,FORD,PA,BR,1638 N LAS PALMAS,00471,54.0,8813B,METER EXPIRED,63.0,6459910.2,1859104.0
1082,1420464,1109827821,2015-01-18T00:00:00,855.0,,,CA,201510.0,,,PA,BR,800 W 84TH ST,MQ19,1.0,8056E4,RED ZONE,93.0,6474617.2,1808845.1
1083,1421024,1111507342,2014-12-31T00:00:00,1448.0,,,CA,201503.0,,GMC,PA,BR,WESTERN CYN RD,,4.0,024,22514,68.0,99999.0,99999.0
1084,1421032,1111507541,2014-12-29T00:00:00,1430.0,,,TX,201607.0,,CHEV,PA,BR,GRIFFITH PARK/W OBS,,4.0,8049,WRG SD/NOT PRL,63.0,99999.0,99999.0
1085,1429568,1106609711,2015-01-25T00:00:00,1002.0,,,CA,201511.0,,JEEP,PA,BR,9619 S HICKORY ST,00547,55.0,8061,STNDNG IN ALLEY,68.0,6490351.0,1803971.1
1086,1429612,1107698115,2015-01-23T00:00:00,1024.0,,,CA,201505.0,,CHEV,VN,BR,899 42ND PL,549A,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
1087,1429670,1108346761,2015-01-21T00:00:00,5.0,,,CA,201401.0,,HOND,PA,BR,43RD PL/MCKINLEY AVE,13A41,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
1088,1429767,1110329382,2015-01-20T00:00:00,,,,CA,201408.0,,HOND,PA,BR,GRAND S/O PICO,1FB92,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1089,1429850,1110705046,2015-01-26T00:00:00,825.0,PR19,,CA,201509.0,,JENS,PA,BR,1170 S WOOSTER ST,00146,51.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
1090,1429853,1110705072,2015-01-26T00:00:00,832.0,,,CA,201509.0,,MAZD,PA,BR,1240 S CORNING ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6447372.0,1842347.3
1091,1429862,1110705164,2015-01-26T00:00:00,1015.0,,,NV,201504.0,,CHRY,PA,BR,5951 SATURN ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6449645.2,1840866.1
1092,1437876,1105767821,2015-01-23T00:00:00,1025.0,,,CA,201410.0,,FORD,PA,BR,820 MILLWOOD AVE,14A25,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1093,1438035,1108638370,2015-01-25T00:00:00,1330.0,,,CA,201410.0,,HOND,PA,BR,3400 W 4TH ST,20TL5,1.0,4000A1,NO EVIDENCE OF REG,50.0,6472951.1,1847034.1
1094,1438053,1108873824,2015-01-24T00:00:00,2145.0,,,CA,201412.0,,GMC,PA,BR,5800 S CENTRAL AVE,13X28,1.0,225078A,HANDICAP/NO DP ID,363.0,6483930.0,1818907.9
1095,1438166,1110071502,2015-01-23T00:00:00,1537.0,,,CA,201304.0,,TOYO,PA,BR,4710 MASCOT,00785,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1096,1438188,1110091194,2015-01-12T00:00:00,1520.0,,,IL,201302.0,,KIA,PA,BR,OXFORD/MONETTE PL,20M18,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1097,1438218,1110093530,2014-12-29T00:00:00,925.0,,,CA,201410.0,,HOND,PA,BR,SAN JUAN/6TH AV,MQ73,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
1098,1438241,1110094053,2014-12-25T00:00:00,1400.0,,,CA,201406.0,,MITZ,PA,BR,3RD/ARDMORE,00001,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
