,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
0,8,1106506402,2015-12-22T00:00:00,945.0,,,CA,201605.0,,CHEV,PA,BR,721 S WESTLAKE,2A75,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
1,114,1112058846,2015-12-12T00:00:00,1920.0,,,CA,201506.0,,HOND,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
2,118,1112058894,2015-12-17T00:00:00,1920.0,,,CA,201509.0,,TOYO,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
3,8012,1109359252,2015-12-22T00:00:00,820.0,,,CA,201211.0,,INFI,PA,BR,910 W 84TH ST,12A49,1.0,8069BS,NO PARK/STREET CLEAN,73.0,6473855.9,1808839.4
4,8044,1109579730,2015-12-28T00:00:00,926.0,,,CA,201504.0,,OLDS,PA,BR,1029 W 66TH ST,00545,55.0,8069BS,NO PARK/STREET CLEAN,73.0,6473099.9,1814925.7
5,8045,1109579741,2015-12-28T00:00:00,927.0,,,CA,201504.0,,OLDS,PA,BR,1029 W 66TH ST,00545,55.0,5204A,EXPIRED TAGS,25.0,6473099.9,1814925.7
6,8122,1110456760,2015-12-24T00:00:00,1035.0,,,CA,201509.0,,FORD,PA,BR,4300 N MERCURY AVE,4FBL1,1.0,4000A1,NO EVIDENCE OF REG,50.0,6502892.2,1853572.8
7,8155,1110472366,2015-12-19T00:00:00,750.0,,,CA,201502.0,,CHEV,PA,BR,8805 VARIEL AVE,17A81,1.0,4000A1,NO EVIDENCE OF REG,50.0,6382454.0,1906410.4
8,8171,1110490076,2015-12-20T00:00:00,1115.0,,,CA,201603.0,,KIA,PA,BR,GLENOAKS/BROWNELL ST,16A23,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
9,8373,1113971261,2015-12-28T00:00:00,1713.0,,,CA,,,FRTL,TR,BR,914 S BARRINGTON AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6420756.4,1842098.1
10,18742,1109270105,2015-12-25T00:00:00,1258.0,,,CA,201607.0,,KIA,VN,BR,3148 BEACHWOOD DR,6A15,1.0,8058L,PREF PARKING,68.0,99999.0,99999.0
11,19059,1110338180,2015-11-29T00:00:00,1030.0,,,CA,201310.0,,FORD,PA,BR,3817 MOORE ST,8MQ71,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
12,19090,1110492832,2015-12-23T00:00:00,1135.0,,,CA,201508.0,,CHEV,TR,BR,YOLANDA AVE/LANARK,01003,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
13,19233,1112835500,2015-12-05T00:00:00,955.0,,,MN,201506.0,,CHEV,TR,BR,EXPOSITION BL/VETERA,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
14,19321,1112837504,2015-12-04T00:00:00,755.0,,,WI,201505.0,,TOYO,PA,BR,ROSE/3RD AVE,8MQ71,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
15,19324,1112837530,2015-12-19T00:00:00,930.0,,,CA,201508.0,,SUBA,PA,BR,CANFIELD/EXPOSITION,8MQ71,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
16,19405,1113971692,2015-12-29T00:00:00,1633.0,,,CA,,,FRTL,TR,BR,1220 S GLENDON AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6427650.9,1844147.1
17,27088,1109578120,2015-12-31T00:00:00,1342.0,,,CA,201603.0,,HOND,PA,BR,1000 S BERENDO ST,00535,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
18,27122,1109578470,2016-01-01T00:00:00,1656.0,,,CA,201603.0,,NISS,VN,BR,150 W 42ND PL,00535,55.0,024,22514,68.0,99999.0,99999.0
19,27198,1109961215,2015-12-26T00:00:00,1225.0,,,CA,201503.0,,CHEV,TR,BR,8401 VAN NUYS BL,01985,1.0,4000A1,NO EVIDENCE OF REG,50.0,6426006.3,1903897.2
20,33164,1107638976,2015-12-26T00:00:00,1525.0,,,CA,201501.0,,HOND,PA,BR,34TH ST/CENTRAL,24MQ7,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
21,33350,1110246421,2015-12-15T00:00:00,1110.0,,,CA,201512.0,,PTRB,TL,BR,833 E 3RD ST,CM86,1.0,8049,WRG SD/NOT PRL,63.0,99999.0,99999.0
22,33368,1110697464,2015-12-16T00:00:00,948.0,,,CA,201605.0,,FORD,PA,BR,3535 LA CIENEGA BL,,51.0,2251156B,MISUSE/DP PRIVILEGE,363.0,6448868.9,1831087.8
23,33370,1110697486,2015-12-16T00:00:00,949.0,,,CA,201605.0,,FORD,PA,BR,3535 LA CIENEGA BL,,51.0,225078A,HANDICAP/NO DP ID,363.0,6448868.9,1831087.8
24,33387,1112035094,2015-12-29T00:00:00,1040.0,,,CA,201502.0,,GMC,TR,BR,101 WORLD WAY,1B4,2.0,4000A1,NO EVIDENCE OF REG,50.0,6439737.8,1802687.4
25,33397,1112058640,2015-12-26T00:00:00,1145.0,,,CA,201605.0,,FORD,TR,BR,7610 WOODLEY AVE,1C14,11.0,89391C,EXCEED TIME LMT,58.0,6415432.1,1898663.3
26,33457,1112095132,2016-01-02T00:00:00,652.0,,,CA,201604.0,,MERZ,PA,BR,LAX EMP LOT EAST,1A104,2.0,569,2251157A,363.0,99999.0,99999.0
27,33458,1112095143,2016-01-02T00:00:00,652.0,,,CA,201604.0,,MERZ,PA,BR,LAX EMP LOT EAST,1A104,2.0,225078A,HANDICAP/NO DP ID,363.0,99999.0,99999.0
28,33470,1112095950,2015-12-20T00:00:00,2340.0,,,CA,201608.0,,KIA,PA,BR,200 WORLD WAY 2E,5M39,2.0,8939,WHITE CURB,58.0,6439997.9,1802686.4
29,33485,1112098606,2015-12-16T00:00:00,2040.0,,,AR,201605.0,,JEEP,TR,BR,6101 WESTCHESTER PKW,5M38,2.0,80714,PRIVATE PROPERTY,68.0,99999.0,99999.0
30,33516,1112101012,2015-12-27T00:00:00,920.0,,,OR,201607.0,,TOYO,PA,BR,6221 W 96TH ST,5M47,2.0,80714,PRIVATE PROPERTY,68.0,6442059.6,1803997.6
31,33517,1112101023,2015-12-27T00:00:00,926.0,,,CA,201511.0,,TOYO,PA,BR,6221 W 96TH ST,5M47,2.0,80714,PRIVATE PROPERTY,68.0,6442059.6,1803997.6
32,33636,1112110016,2016-01-04T00:00:00,1320.0,,,CA,201510.0,,SWMD,RV,BR,94TH/HINDRY PL,1A315,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
33,40679,1109570501,2016-01-05T00:00:00,759.0,,,CA,201608.0,,CHEV,PA,BR,6506 S FIGUEROA ST,00500,55.0,8070,PARK IN GRID LOCK ZN,163.0,99999.0,99999.0
34,40695,1109811091,2015-12-16T00:00:00,1148.0,,,CA,201606.0,,KIA,PA,BR,111 E 1ST ST,,1.0,8069A,NO STOPPING/STANDING,93.0,6487970.2,1841456.7
35,40773,1111250604,2015-12-26T00:00:00,805.0,,,CA,201209.0,,HYUN,PA,BR,11635 SHELDON ST,16A11,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
36,48729,1106392114,2016-01-02T00:00:00,435.0,,,CA,201503.0,,CHEV,PA,BR,904 BREED ST,4E3,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
37,48842,1109189664,2015-12-29T00:00:00,1624.0,,,CA,201610.0,,TOYO,PA,BR,2800 E OBS RD,,4.0,8603,PK IN PROH AREA,68.0,99999.0,99999.0
38,48914,1110245850,2015-12-15T00:00:00,840.0,,,CA,201612.0,,FORD,TR,BR,STONE CYN/TORTUOSO,,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
39,48946,1112721201,2016-01-06T00:00:00,706.0,,,CA,201605.0,,FORD,PU,BR,2500 W 5TH ST,00403,54.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
40,58768,1095959233,2015-12-29T00:00:00,1520.0,,,CA,201507.0,,FORD,,BR,E/S WOODLEY/VICTORY,10FB6,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
41,58827,1107973635,2015-12-29T00:00:00,1355.0,,,CA,201508.0,,NISS,PA,BR,1400 HOLT AVE,8Z1,1.0,4000A1,NO EVIDENCE OF REG,50.0,6447015.6,1842167.4
42,58881,1109920593,2016-01-01T00:00:00,2315.0,,,CA,201502.0,,SUZI,PA,BR,1046 WOOSTER ST,8Z1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
43,58923,1110423926,2015-12-27T00:00:00,440.0,,,CA,201503.0,,CHEV,PA,BR,8001 RESEDA BL,10A83,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
44,58954,1110425503,2016-01-02T00:00:00,2355.0,,,CA,,,,PA,BR,GAULT/WILBUR,10A17,1.0,098,5200,25.0,99999.0,99999.0
45,59201,1112082322,2015-12-18T00:00:00,2220.0,,,CA,201611.0,,NISS,PA,BR,300 WORLD WAY L/L,3C209,2.0,8939,WHITE CURB,58.0,6439954.7,1802686.6
46,59230,1112092063,2015-12-26T00:00:00,1205.0,,,CA,201607.0,,VOLV,PA,BR,600 WORLD WAY L/L,2C304,2.0,000,80661,,6439825.1,1802687.1
47,59302,1112106586,2015-12-30T00:00:00,1920.0,,,CA,201609.0,,NISS,TR,BR,6101 WESTCHESTER PKW,5M39,2.0,000,17104c,,99999.0,99999.0
48,59492,1113862444,2016-01-06T00:00:00,820.0,,,WA,201608.0,,CHEV,VN,BR,10144 TABOR ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6439109.2,1832250.1
49,59520,1113862982,2016-01-06T00:00:00,1258.0,PW215,,CA,,,HYUN,PA,BR,2370 KELTON AV,00146,51.0,8813B,METER EXPIRED,63.0,6431110.0,1837147.8
50,59621,1113967805,2016-01-05T00:00:00,1718.0,,,CA,,,FRTL,TR,BR,914 S BARRINGTON AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6420756.4,1842098.1
51,68288,1108613424,2016-01-03T00:00:00,1500.0,,,CA,201507.0,,DODG,PA,BR,HOWARD ST/OXFORD AVE,14X16,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
52,68394,1109577615,2016-01-07T00:00:00,1035.0,,,CA,201608.0,,HOND,VN,BR,2801 S BUDLONG AV,00535,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
53,68429,1109587990,2016-01-07T00:00:00,1009.0,,,CA,201608.0,,CHEV,SU,BR,2727 S NORMANDIE AV,00535,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
54,68502,1110268935,2015-12-30T00:00:00,1320.0,,,CA,201510.0,,FORD,SU,BR,7260 ETHEL,MQ15,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
55,68550,1110634464,2016-01-08T00:00:00,843.0,,,CA,201607.0,,LEXU,,BR,3330 APPLETON,00676,56.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
56,68833,1113860521,2016-01-07T00:00:00,857.0,,,CA,201602.0,,HOND,PA,BR,3637 KEYSTONE AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6437768.2,1830987.5
57,68835,1113860543,2016-01-07T00:00:00,1007.0,,,CA,201607.0,,NISS,PA,BR,10845 ROSE AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6435312.1,1831703.8
58,68840,1113860591,2016-01-07T00:00:00,1012.0,,,CA,201607.0,,DODG,PA,BR,10867 ROSE AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6435137.0,1831592.5
59,68860,1113860790,2016-01-07T00:00:00,1245.0,PR563,,CA,201701.0,,INFI,PA,BR,8645 W PICO BL,00146,51.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
60,68912,1113862175,2016-01-07T00:00:00,839.0,,,CA,201607.0,,TOYO,PA,BR,10310 REGENT ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6439034.5,1831084.3
61,77919,1112101196,2016-01-01T00:00:00,915.0,,,CA,201610.0,,TOYO,PA,BR,6221 W 96TH ST L/SO,5M47,2.0,8936,RED CURB,93.0,99999.0,99999.0
62,77922,1112101546,2016-01-03T00:00:00,845.0,,,CA,201604.0,,HOND,TR,BR,500 WORLD WAY L/L,2C3B,2.0,8939,WHITE CURB,58.0,6439868.3,1802686.9
63,77953,1112108546,2016-01-11T00:00:00,800.0,,,CA,201507.0,,FORD,,BR,501 PARKING STRUC 4G,1F51,2.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
64,77963,1112109493,2016-01-09T00:00:00,1145.0,,,CA,200716.0,,FORD,PA,BR,PARKING LOT J E/LOT,1A104,2.0,80714,PRIVATE PROPERTY,68.0,99999.0,99999.0
65,77994,1112119750,2016-01-04T00:00:00,1943.0,,,CA,201603.0,,SUB,PA,BR,601 W/W 1D,00024,2.0,8940,PARKING AREA,58.0,99999.0,99999.0
66,78076,1113032502,2016-01-11T00:00:00,627.0,,,CA,201512.0,,TOYO,PA,BR,7600 W SUNSET BL,00403,54.0,225078A,HANDICAP/NO DP ID,363.0,99999.0,99999.0
67,78109,1113039911,2016-01-11T00:00:00,1107.0,,,CA,201603.0,,TOYO,PA,BR,7529 FRANKLIN AVE,00487,54.0,8069BS,NO PARK/STREET CLEAN,73.0,6454670.0,1860222.9
68,78178,1113860355,2016-01-09T00:00:00,923.0,PM41,,AZ,201603.0,,HYUN,VN,BR,3268 1/2 MOTOR AV,313W,51.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
69,86891,1108114814,2016-01-12T00:00:00,707.0,,,CA,201602.0,,CHEV,PA,BR,741 W CENTURY BLVD,,58.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
70,86922,1109079646,2015-12-20T00:00:00,1511.0,,,CA,201604.0,,GMC,,BR,11770 FOOTHILL BLVD,,4.0,8603,PK IN PROH AREA,68.0,6443160.7,1921957.7
71,86942,1109090146,2015-12-31T00:00:00,1400.0,,,CA,201601.0,,TOYO,PA,BR,GRIFFITH PARK/WESTER,,4.0,8049,WRG SD/NOT PRL,63.0,99999.0,99999.0
72,87128,1109582025,2016-01-12T00:00:00,604.0,,,CA,201602.0,,BUIC,PA,BR,9014 S HOOVER ST,00500,55.0,80732,EXCEED 72 HOURS,68.0,99999.0,99999.0
73,87219,1111139175,2016-01-11T00:00:00,1610.0,,,CA,201611.0,,LINC,LI,BR,11220 W PICO BLVD,00123,51.0,8070,PARK IN GRID LOCK ZN,163.0,6429212.3,1835749.3
74,87304,1113033316,2016-01-12T00:00:00,836.0,,,CA,,,SCIO,PA,BR,5722 W VIRGINIA AV,00442,54.0,010,22500E,68.0,99999.0,99999.0
75,87309,1113033364,2016-01-12T00:00:00,1005.0,,,CA,201604.0,,GMC,VN,BR,6111 W DELONGPRE AV,00442,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
76,87333,1113859014,2016-01-11T00:00:00,1206.0,,,CA,201602.0,,TOYO,VN,BR,1144 S ELM DR,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6442054.0,1843092.3
77,87336,1113859040,2016-01-11T00:00:00,1212.0,,,CA,201612.0,,HOND,PA,BR,1128 GLENVILLE DR,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6442681.1,1843327.4
78,87356,1113859246,2016-01-11T00:00:00,1430.0,PW210,,CA,201607.0,,HOND,PA,BR,10921 W PICO BL,00146,51.0,8813B,METER EXPIRED,63.0,6431315.7,1836953.5
79,95523,1106392280,2016-01-06T00:00:00,1530.0,,,CA,201507.0,,WNBN,RV,BR,ALHAMBRA/BRAWLY,4SL99,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
80,107217,1108194264,2016-01-07T00:00:00,1915.0,,,CA,201605.0,,NISS,PA,BR,4870 MARIONWOOD,14G21,1.0,8056E4,RED ZONE,93.0,6437240.2,1820419.1
81,107219,1108196600,2016-01-10T00:00:00,610.0,,,CA,201603.0,,MAZD,PA,BR,7137 ALVERN AV,01467,1.0,013,22500H,68.0,99999.0,99999.0
82,107242,1109940300,2016-01-10T00:00:00,825.0,,,CA,201612.0,,HYUN,PA,BR,PACIFIC/SUNSET CT,01412,1.0,8069A,NO STOPPING/STANDING,93.0,99999.0,99999.0
83,107400,1112052325,2016-01-12T00:00:00,1535.0,,,CA,201610.0,,INFI,PA,BR,6101 W PKWY A-3,5D81,2.0,80714,PRIVATE PROPERTY,68.0,99999.0,99999.0
84,107403,1112063455,2015-11-29T00:00:00,1415.0,,,CA,201606.0,,JEEP,PA,BR,6161 W CENTURY BLVD,5M26,2.0,225078A,HANDICAP/NO DP ID,363.0,99999.0,99999.0
85,107470,1112107920,2016-01-10T00:00:00,1130.0,,,CA,201503.0,,HOND,PA,BR,6221 96 ST LOT C,5M33,2.0,5204A,EXPIRED TAGS,25.0,6442059.6,1803997.6
86,107492,1112111114,2016-01-06T00:00:00,1330.0,,,CA,201604.0,,FORD,PA,BR,9100 JENNY AVE 28A,5M47,2.0,8940,PARKING AREA,58.0,99999.0,99999.0
87,107576,1112119783,2016-01-11T00:00:00,1710.0,,,CA,201504.0,,MERZ,TR,BR,401 W/W 3D,00024,2.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
88,107621,1112139276,2016-01-06T00:00:00,625.0,,,AZ,201609.0,,KIA,VN,BR,700 WORLD WAY U/L,2C301,2.0,8939,WHITE CURB,58.0,6439781.9,1802687.3
89,107822,1113952792,2016-01-13T00:00:00,929.0,,,CA,,,JEEP,PA,BR,12975 JEFFERSON BLVD,00175,51.0,225078A,HANDICAP/NO DP ID,363.0,6433278.5,1813560.2
90,107829,1113961030,2016-01-13T00:00:00,927.0,,,CA,,,JEEP,PA,BR,12975 JEFFERSON BL,00131,51.0,570,2251157B,363.0,6433278.5,1813560.2
91,117016,1055791962,2016-01-08T00:00:00,955.0,,,CA,201502.0,,KIA,PA,BR,60TH ST/SAN PEDRO,01385,1.0,8061,STNDNG IN ALLEY,68.0,99999.0,99999.0
92,117074,1108350655,2016-01-05T00:00:00,1055.0,,,CA,201511.0,,CHEV,TR,BR,48TH W/O HONDURAS,13Q69,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
93,117242,1109575353,2016-01-14T00:00:00,1220.0,,,CA,201607.0,,HOND,SU,BR,1226 W 37TH DR,00535,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
94,117321,1112077282,2016-01-18T00:00:00,2010.0,,,CA,201505.0,,TOYO,PA,BR,6221 W 96TH ST,2B2,2.0,4000A1,NO EVIDENCE OF REG,50.0,6442059.6,1803997.6
95,117346,1112107522,2016-01-16T00:00:00,915.0,,,CA,201606.0,,FORD,PA,BR,5840 W 88TH ST,1A314,2.0,8936,RED CURB,93.0,99999.0,99999.0
96,117350,1112108561,2016-01-18T00:00:00,745.0,,,CA,201512.0,,FORD,PA,BR,LA CIENEGA/96TH,00002,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
97,117419,1112995343,2016-01-08T00:00:00,520.0,,,CA,201607.0,,LEXU,PA,BR,CENTRAL AV/55TH ST,13A85,1.0,8061,STNDNG IN ALLEY,68.0,99999.0,99999.0
98,117436,1112997045,2016-01-12T00:00:00,32.0,,,CA,201504.0,,CHEV,VN,BR,59TH ST W/O MAIN ST,13A9,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
99,117437,1112997056,2016-01-12T00:00:00,1245.0,,,CA,201506.0,,CHEV,VN,BR,MCKINLEY N/O VERNON,13A9,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
100,117515,1113034016,2016-01-15T00:00:00,1414.0,,,CA,201511.0,,HYUN,PA,BR,A/F 511 S OXFORD AV,3RD,54.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
101,117544,1113035545,2016-01-16T00:00:00,1013.0,,,CA,201608.0,,FORD,PA,BR,5906 W WILLOUGHBY,3RD,54.0,8069A,NO STOPPING/STANDING,93.0,99999.0,99999.0
102,117614,1113857301,2016-01-14T00:00:00,1016.0,,,CA,201601.0,,TOYO,PA,BR,10773 LAWLER ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6436290.7,1831519.0
103,117683,1113966000,2016-01-14T00:00:00,1626.0,,,CA,201406.0,,FRTL,TR,BR,1190 S GAYLEY AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6426724.4,1843993.1
104,125961,1108457571,2016-01-09T00:00:00,2352.0,,,CA,201608.0,,GMC,TR,BR,E/W 253RD W/O BELLEP,5A12,1.0,8061,STNDNG IN ALLEY,68.0,99999.0,99999.0
105,126133,1109571352,2016-01-19T00:00:00,941.0,,,CA,201608.0,,CADI,PA,BR,1151 W 70TH ST,00545,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
106,126148,1109571503,2016-01-19T00:00:00,1053.0,,,CA,201602.0,,CHEV,TR,BR,824 W 68TH ST,00545,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
107,126234,1110220086,2016-01-05T00:00:00,1150.0,,,CA,201503.0,,ACUR,PA,BR,731 E 113TH ST,25EL1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
108,126244,1110457014,2016-01-09T00:00:00,840.0,,,CA,201508.0,,PLYM,VN,BR,345 ATLANTIC,4A97,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
109,134553,1103144361,2016-01-17T00:00:00,1715.0,,,CA,201505.0,,FORD,PA,BR,1552 W 82ND ST,12G22,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
110,134566,1105711084,2016-01-13T00:00:00,1745.0,,,CA,201605.0,,TOYO,PA,BR,8100 SEPULVEDA PL,19SL0,1.0,8061,STNDNG IN ALLEY,68.0,99999.0,99999.0
111,134687,1108920665,2016-01-16T00:00:00,2000.0,,,CA,201507.0,,MERZ,PA,BR,FLOWER/42ND ST,00399,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
112,134755,1109485591,2015-01-16T00:00:00,805.0,,,CA,201506.0,,CHEV,VN,BR,206 UNION PL,2A91,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
113,134970,1112612325,2016-01-20T00:00:00,1341.0,,,CA,201604.0,,BENZ,PA,BR,1670 W 58TH ST,00544,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
114,135007,1112613342,2016-01-20T00:00:00,948.0,,,CA,201609.0,,LEXU,PA,BR,4300 S HALLDALE AVE,00544,55.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
115,135139,1113044553,2016-01-20T00:00:00,1220.0,,,CA,201511.0,,FORD,PA,BR,727 N CITRUS AVE,00487,54.0,099,5204,25.0,99999.0,99999.0
116,135249,1113857544,2016-01-15T00:00:00,800.0,,,CA,201604.0,,TOYO,PA,BR,2386 MIDVALE,00146,51.0,8056E1,WHITE ZONE,58.0,6431486.4,1837187.9
117,135294,1113871360,2016-01-18T00:00:00,1149.0,WP71,,CA,201603.0,,HOND,PA,BR,310 E WASHINGTON BL,207W,51.0,8813B,METER EXPIRED,63.0,6420885.4,1815605.9
118,145279,1108196751,2016-01-17T00:00:00,1500.0,,,CA,201511.0,,CHEV,PA,BR,ZANJA/LOUELLA,14X56,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
119,145458,1112029925,2016-01-19T00:00:00,1040.0,,,CA,201115.0,,NISS,PA,BR,6221 W 96TH ST,1A206,2.0,4000A1,NO EVIDENCE OF REG,50.0,6442059.6,1803997.6
120,145507,1112117860,2016-01-12T00:00:00,1259.0,,,CA,201601.0,,HOND,PA,BR,380 WORLD WAY L/L,2C191,2.0,013,22500H,68.0,6439920.1,1802686.7
121,145601,1112146000,2016-01-14T00:00:00,1129.0,,,CA,201610.0,,TOYO,PA,BR,380 WORLD WAY L/L,2C131,2.0,8939,WHITE CURB,58.0,6439920.1,1802686.7
122,145748,1113044612,2016-01-21T00:00:00,1026.0,,,CA,201603.0,,FORD,TR,BR,1226 N EL CENTRO AVE,00487,54.0,8069B,NO PARKING,73.0,6463433.9,1856520.2
123,145761,1113044763,2016-01-21T00:00:00,933.0,WF230,,CA,201609.0,,AUDI,PA,BR,8128 W 3RD ST,3RD,54.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
124,154392,1112946660,2015-12-01T00:00:00,1350.0,,,CA,201211.0,,TOYO,PA,BR,6TH ST/CERES AVE,1SL56,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
125,154394,1112946682,2015-12-05T00:00:00,1041.0,,,CA,201506.0,,HOND,PA,BR,CROCKER/6TH,1SL56,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
126,154508,1113855713,2016-01-20T00:00:00,825.0,,,CA,201612.0,,MINI,PA,BR,9826 HANNUM DR,00141,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6440287.4,1832661.0
127,154535,1113870435,2016-01-21T00:00:00,847.0,,,CA,201610.0,,TOYO,PA,BR,3627 MOTOR AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6438366.7,1831481.8
128,154540,1113870483,2016-01-21T00:00:00,1212.0,,,CA,201605.0,,TOYO,PA,BR,3233 S SEPULVEDA BL,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
129,154567,1113870752,2016-01-20T00:00:00,805.0,,,CA,201610.0,,SATU,PA,BR,3547 CLARINGTON AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6439166.7,1832698.5
130,154586,1113870951,2016-01-20T00:00:00,850.0,,,CA,201503.0,,SUBA,PA,BR,3716 MOTOR AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6438818.1,1830772.2
131,154607,1113871161,2016-01-20T00:00:00,1129.0,PW199,,CA,201605.0,,INFI,PA,BR,10889 W PICO BL,00146,51.0,8813B,METER EXPIRED,63.0,6431615.9,1837123.2
132,154633,1113871684,2016-01-21T00:00:00,1711.0,,,CA,,,FRTL,TR,BR,1220 S GLENDON AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6427650.9,1844147.1
133,163407,1104964486,2016-01-09T00:00:00,2122.0,,,CA,201608.0,,HOND,PA,BR,4101 VINELAND AVE,330R1,53.0,8069B,NO PARKING,73.0,6449593.9,1874615.0
134,163413,1105488893,2016-01-19T00:00:00,210.0,,,CA,201305.0,,CHEV,VN,BR,OWENSMOUTH/VICTORY,21L70,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
135,163543,1110380456,2016-01-15T00:00:00,235.0,,,CA,201512.0,,GMC,PA,BR,2730 E OLYMPIC BL,4SL99,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
136,163581,1112110134,2016-01-23T00:00:00,845.0,,,CA,201511.0,,VOLV,PA,BR,94TH/ISIS AVE,1A104,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
137,163582,1112110145,2016-01-23T00:00:00,850.0,,,CA,201503.0,,CHEV,TL,BR,94TH/HINDRY PL,1A104,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
138,163583,1112110156,2016-01-23T00:00:00,920.0,,,CA,201510.0,,SOUT,TL,BR,94TH/HINDRY PL,1A104,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
